行业名称,公司数量,公司
1,45,1
1,45,2
1,45,3
1,45,4
1,45,5
1,45,6
1,45,7
1,45,8
1,45,9
1,45,10
1,45,11
1,45,12
1,45,13
1,45,14
1,45,15
1,45,16
1,45,17
1,45,18
1,45,19
1,45,20
1,45,21
1,45,22
1,45,23
1,45,24
1,45,25
1,45,26
1,45,27
1,45,28
1,45,29
1,45,30
1,45,31
1,45,32
1,45,33
1,45,34
1,45,35
1,45,36
1,45,37
1,45,38
1,45,39
1,45,40
1,45,41
1,45,42
1,45,43
1,45,44
1,45,45
2,44,1
2,44,2
2,44,3
2,44,4
2,44,5
2,44,6
2,44,7
2,44,8
2,44,9
2,44,10
2,44,11
2,44,12
2,44,13
2,44,14
2,44,15
2,44,16
2,44,17
2,44,18
2,44,19
2,44,20
2,44,21
2,44,22
2,44,23
2,44,24
2,44,25
2,44,26
2,44,27
2,44,28
2,44,29
2,44,30
2,44,31
2,44,32
2,44,33
2,44,34
2,44,35
2,44,36
2,44,37
2,44,38
2,44,39
2,44,40
2,44,41
2,44,42
2,44,43
2,44,44
3,37,1
3,37,2
3,37,3
3,37,4
3,37,5
3,37,6
3,37,7
3,37,8
3,37,9
3,37,10
3,37,11
3,37,12
3,37,13
3,37,14
3,37,15
3,37,16
3,37,17
3,37,18
3,37,19
3,37,20
3,37,21
3,37,22
3,37,23
3,37,24
3,37,25
3,37,26
3,37,27
3,37,28
3,37,29
3,37,30
3,37,31
3,37,32
3,37,33
3,37,34
3,37,35
3,37,36
3,37,37
4,35,1
4,35,2
4,35,3
4,35,4
4,35,5
4,35,6
4,35,7
4,35,8
4,35,9
4,35,10
4,35,11
4,35,12
4,35,13
4,35,14
4,35,15
4,35,16
4,35,17
4,35,18
4,35,19
4,35,20
4,35,21
4,35,22
4,35,23
4,35,24
4,35,25
4,35,26
4,35,27
4,35,28
4,35,29
4,35,30
4,35,31
4,35,32
4,35,33
4,35,34
4,35,35
5,31,1
5,31,2
5,31,3
5,31,4
5,31,5
5,31,6
5,31,7
5,31,8
5,31,9
5,31,10
5,31,11
5,31,12
5,31,13
5,31,14
5,31,15
5,31,16
5,31,17
5,31,18
5,31,19
5,31,20
5,31,21
5,31,22
5,31,23
5,31,24
5,31,25
5,31,26
5,31,27
5,31,28
5,31,29
5,31,30
5,31,31